Nome,Latitude,Longitude,Camada,Dias,Notas
Reykjavik e Golden Circle,64.1466,-21.9426,Regiao,Dias 1-3,Chegada e cidade - inclui Golden Circle
Highlands / Landmannalaugar,63.9906437,-19.0606999,Regiao,Dias 3-4,F26/F225 - so opera na temporada de verao
Costa Sul,63.5320523,-19.5113706,Regiao,Dias 5-6,Skogar a Vik - cachoeiras e Reynisfjara
Skaftafell e Glaciar,64.0155263,-16.9716248,Regiao,Dias 6-7,Base do glacier hike Falljokull
Sudeste - Jokulsarlon,64.0784458,-16.2305536,Regiao,Dia 8,Lagoa glacial e Diamond Beach
Fiordes do Leste,65.2602307,-14.0095466,Regiao,Dia 9,Seydisfjordur e Vok Baths
Myvatn e Norte,65.6407893,-16.9133381,Regiao,Dias 10-11,Area geotermica e Akureyri
Snaefellsnes,64.8057023,-23.7730967,Regiao,Dia 12,Peninsula final do loop
